;word;type;emotT;emotPT;X;
1;Абулия; спец. ;СМИРЕНИЕ; 31.7. Эмоциональное качество.;pos;
2;Абулия; спец. ;СМИРЕНИЕ; 31.7. Эмоциональное качество.;pos;
3;Авось; разг. ;НАДЕЖДА; 20.2. Эмоциональное отношение.;pos;
4;Авось-либо; разг.-сниж. ;НАДЕЖДА; 20.2. Эмоциональное отношение.;pos;
5;Авторитет ;0;УВАЖЕНИЕ; 37.8. Человек как средоточие и носитель эмоций.;pos;
6;Авторитетно ;0;УВАЖЕНИЕ; 37.5. Внешнее выражение эмоций.;pos;
7;Авторитетность ;0;УВАЖЕНИЕ; 37.7. Эмоциональное качество.;pos;
8;Авторитетный ;0;ВЕРА; 5 6. Эмоциональная характеризация.;pos;
9;Авторитетный ;0;УВАЖЕНИЕ; 37.6. Эмоциональная характеризация.;pos;
10;Агнец; устар. ;СМИРЕНИЕ; 31.8. Человек как средоточие и носитель эмоций.;pos;
19;Адюльтер ;0;НЕВЕРИЕ; 22.5. Внешнее выражение эмоций.;neg;
21;Ажиотажный ;0;БЕСПОКОЙСТВО; 1.1. Эмоциональное состояние.;neg;
22;Ажитация; устар. ;БЕСПОКОЙСТВО; 1.1. Эмоциональное состояние.;neg;
23;Ажитйрованный ;0;БЕСПОКОЙСТВО; 1.6. Эмоциональная характеризация.;neg;
24;Ажитйроваться; устар. ;БЕСПОКОЙСТВО; 1.5. Внешнее выражение эмоций.;neg;
25;Азарт ;0;БЕСПОКОЙСТВО; 1.1. Эмоциональное состояние.;neg;
26;Азарт ;0;ВЛЕЧЕНИЕ; 6.1. Эмоциональное состояние.;pos;
27;Азартничать ;0;БЕСПОКОЙСТВО; 1.5. Внешнее выражение эмоций.;neg;
28;Азартность ;0;ЛЮБОВЬ; 18.7. Эмоциональное качество.;pos;
29;Азартный ;0;БЕСПОКОЙСТВО; 1.6. Эмоциональная характеризация.;neg;
30;Азартный ;0;ВЛЕЧЕНИЕ; 6.1. Эмоциональное состояние.;pos;
31;Азартный ;0;ВЛЕЧЕНИЕ; 6.6. Эмоциональная характеризация.;pos;
32;Азартный ;0;ЛЮБОВЬ; 18.1. Эмоциональное состояние.;pos;
33;Азартный ;0;ЛЮБОВЬ; 18.5. Внешнее выражение эмоций.;pos;
34;Азартный ;0;ЛЮБОВЬ; 18.6. Эмоциональная характеризация.;pos;
35;Азиат; устар. ;ЖЕСТОКОСТЬ; 15.8. Человек как средоточие и носитель эмоций.;neg;
36;Акклиматизироваться; несов. и сов. ;РАВНОДУШИЕ; 29.3. Становление эмоционального состояния и отношения.;neg;
37;Актер; разг. ;НЕИСКРЕННОСТЬ; 24.8. Человек как средоточие и носитель эмоций.;neg;
38;Актерство; устар. ;НЕИСКРЕННОСТЬ; 24.5. Внешнее выражение эмоций.;neg;
39;Актерство; устар. ;НЕИСКРЕННОСТЬ; 24.7. Эмоциональное качество. ;neg;
40;Актерствовать; устар. ;НЕИСКРЕННОСТЬ; 24.5. Внешнее выражение эмоций.;neg;
41;Активизация ;0;РАДОСТЬ; 30.4. Эмоциональное воздействие.;pos;
42;Активизировать; несов. и сов. ;РАДОСТЬ; 30.4. Эмоциональное воздействие.;pos;
43;Активизироваться; сов. ;РАДОСТЬ; 30.3. Становление эмоционального состояния и отношения.;pos;
44;Актриса; разг. ;НЕИСКРЕННОСТЬ; 24.8. Человек как средоточие и носитель эмоций.;neg;
45;Алармист; устар. ;СТРАХ; 34.8. Человек как средоточие и носитель эмоций.;neg;
47;Аллилуйщина; разг. ;ОДОБРЕНИЕ; 28.5. Внешнее выражение эмоций.;pos;
48;Алчба; устар. ;НАДЕЖДА; 20.7. Эмоциональное качество.;pos;
49;Алчность; устар. ;ЖЕЛАНИЕ; 14.7. Эмоциональное качество.;pos;
50;Алчность; устар. ;НАДЕЖДА; 20.7. Эмоциональное качество.;pos;
54;Альковный; устар. ;ЛЮБОВЬ; 18.6. Эмоциональная характеризация.;pos;
55;Альтруизм; книжн. ;ДОБРОТА; 11.7. Эмоциональное качество.;pos;
56;Альтруист ;0;ДОБРОТА; 11.8. Человек как средоточие и носитель эмоций.;pos;
57;Альтруистический ;0;ДОБРОТА; 11.5. Внешнее выражение эмоций.;pos;
58;Альтруистический ;0;ДОБРОТА; 11.6. Эмоциональная характеризация.;pos;
59;Альтруистичность ;0;ДОБРОТА; 11.7. Эмоциональное качество.;pos;
60;Альтруистичный ;0;ДОБРОТА; 11.5. Внешнее выражение эмоций.;pos;
61;Альтруистичный ;0;ДОБРОТА; 11.6. Эмоциональная характеризация.;pos;
62;Альтруистский ;0;ДОБРОТА; 11.5. Внешнее выражение эмоций.;pos;
63;Альтруистский ;0;ДОБРОТА; 11.6. Эмоциональная характеризация.;pos;
69;Амуриться; разг.-сниж. ;ЛЮБОВЬ; 18.5. Внешнее выражение эмоций.;pos;
70;Амурничать; шутл. ;ЛЮБОВЬ; 18.5. Внешнее выражение эмоций.;pos;
71;Амурный; разг., шутл. ;ЛЮБОВЬ; 18.5. Внешнее выражение эмоций.;pos;
72;Амурный; разг., шутл. ;ЛЮБОВЬ; 18.6. Эмоциональная характеризация.;pos;
73;Амуры; устар., шутл. ;ЛЮБОВЬ; 18.2. Эмоциональное отношение.;pos;
74;Анахорет; книжн. ;ОДИНОЧЕСТВО; 27.8. Человек как средоточие и носитель эмоций.;neg;
75;Ангелоподобный ;0;СМИРЕНИЕ; 31.6. Эмоциональная характеризация.;pos;
77;Ангельский; разг. ;СМИРЕНИЕ; 31.6. Эмоциональная характеризация.;pos;
78;Антагонистический ;0;ВРАЖДА; 7.2. Эмоциональное отношение.;neg;
79;Антагонистичный ;0;ВРАЖДА; 7.2. Эмоциональное отношение.;neg;
80;Антигуманистический ;0;ЖЕСТОКОСТЬ; 15.2. Эмоциональное отношение.;neg;
81;Антигуманно ;0;ЖЕСТОКОСТЬ; 15.5. Внешнее выражение эмоций.;neg;
82;Антигуманность ;0;ЖЕСТОКОСТЬ; 15.7. Эмоциональное качество.;neg;
83;Антигуманный ;0;ЖЕСТОКОСТЬ; 15.2. Эмоциональное отношение.;neg;
84;Антигуманный ;0;ЖЕСТОКОСТЬ; 15.6. Эмоциональная характеризация.;neg;
85;Антипатический ;0;НЕПРИЯЗНЬ; 25.6. Эмоциональная характеризация.;neg;
86;Антипатичный ;0;НЕПРИЯЗНЬ; 25.6. Эмоциональная характеризация.;neg;
87;Антипатия ;0;НЕПРИЯЗНЬ; 25.2. Эмоциональное отношение.;neg;
