"word","class"
"абордаж","negative"
"аборт","negative"
"абсурд","negative"
"абсурдность","negative"
"абсурдный","negative"
"абсцесс","negative"
"авантюра","negative"
"авантюризм","negative"
"авантюрист","negative"
"авантюристка","negative"
"авантюристский","negative"
"аварийность","negative"
"аварийный","negative"
"авария","negative"
"авиабомба","negative"
"авиакатастрофа","negative"
"авианалёт","negative"
"авиаудар","negative"
"авитаминоз","negative"
"авитаминозный","negative"
"автозак","negative"
"автокатастрофа","negative"
"авторитаризм","negative"
"авторитарность","negative"
"авторитарный","negative"
"автоугон","negative"
"автоугонщик","negative"
"агония","negative"
"агрессивность","negative"
"агрессивный","negative"
"агрессия","negative"
"агрессор","negative"
"адски","negative"
"адский","negative"
"ажиотажный","negative"
"азартный","negative"
"аид","negative"
"актриска","negative"
"актрисочка","negative"
"актёришка","negative"
"алкашка","negative"
"алкоголизм","negative"
"алкоголический","negative"
"алкоголичка","negative"
"алкогольный","negative"
"алконавт","negative"
"аллерген","negative"
"аллергический","negative"
"аллергия","negative"
"алогичность","negative"
"алогичный","negative"
"алчность","positive"
"алчный","negative"
"альфонс","negative"
"альцгеймер","negative"
"амбал","negative"
"амнезия","negative"
"аморалка","negative"
"аморальность","negative"
"аморальный","negative"
"ампутация","negative"
"ампутировать","negative"
"амфетамин","negative"
"анархизм","negative"
"анархист","negative"
"анархистка","negative"
"анархистский","negative"
"анархический","negative"
"анархия","negative"
"ангажированный","negative"
"ангина","negative"
"ангиозный","negative"
"анемия","negative"
"аннулировать","negative"
"аномалия","negative"
"аномальность","negative"
"аномальный","negative"
"анорексия","negative"
"антагонист","negative"
"антагонистический","negative"
"антагонистичный","negative"
"антиамериканизм","negative"
"антивещество","negative"
"антигерой","negative"
"антигосударственный","negative"
"антигуманизм","negative"
"антигуманность","negative"
"антидемократический","negative"
"антикоммунизм","negative"
"антикоммунист","negative"
"антикоммунистический","negative"
"антиматерия","negative"
"антинародный","negative"
"антинаучный","negative"
"антиобщественный","negative"
"антипартийный","negative"
"антипатичный","negative"
"антипатия","negative"
"антипатриотизм","negative"
"антиправительственный","negative"
"антиреклама","negative"
"антирелигиозный","negative"
"антисанитария","negative"
"антисанитарный","negative"
"антисистема","negative"
"антисоветизм","negative"
"антисоветский","negative"
"антисоветчик","negative"
"антитело","negative"
"антихрист","negative"
"апатичность","negative"
"апатичный","negative"
"апатия","negative"
"апокалипсис","negative"
"апокалипсический","negative"
"аппендикс","negative"
"аппендицит","negative"
"арест","negative"
"арестант","negative"
"арестантка","negative"
"арестование","negative"
"арестовать","negative"
"арестовывать","negative"
"аристократишка","negative"
"аритмичный","negative"
"аритмия","negative"
"армагеддон","negative"
"артобстрел","negative"
"артрит","negative"
"артритный","negative"
"артроз","negative"
